"title","content","date","variant","images","verified","author","rating","product","url"
"Look just like the photo","I love the shoes they are true to size , I wear a 7 1/2 but I ordered a 8 to allow a little extra room and I got just that","18 Sep 2018","Size: 8 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/81wdRdaAfmL._SY88.jpg","Yes","Diane Johnson","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"After 20 returns","Just writing a rare review on these . I love Nikeâ€™s but my feet donâ€™t usually. So Iâ€™ve ordered and returned a lot. Tried again lol and these ARE AMAZING comfortable. So much that I may order 3 more this year just to have them. The color is so cute and clean and sporty. Iâ€™m 99.9% sure Iâ€™ve dinally found a pair of Nikes Iâ€™m not going to return , fingers crossed ðŸ¤žðŸ˜Š","08 May 2019","Size: 10 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/717EKthL0BL._SY88.jpg","Yes","sherlain miranda","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Half size up :)","I have only run in them a couple of times, but so far they feel great. I normally wear a size 9, and I ordered a 9.5, and Iâ€™m glad I did. There is plenty of room, but not too much. The only thing that will take me getting used to is that they are slightly bulkier than my ASICS. Like any running shoes, Iâ€™m sure it will take a little bit of time to work out the stiffness and fully break them in, but they are amazing!","14 Dec 2018","Size: 9.5 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/71ap+mslLBL._SY88.jpg","Yes","Blondie","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Surprisingly comfortable","I have a very hard time finding shoes that are comfortable for me, I have severe fibromyalgia with no help from medications because nothing works for me. So I am constantly looking for comfortable clothing and sneakers. Usually nike isnt good for me but after deciding to give this pair a try I was happy I did. Not only are they nice looking but they really are comfortable. I wore them all day today did a lot of walking and have zero issues with my feet hurting. Worth the extra money","26 Aug 2018","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","E Diaz","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Cute and Stylish..","Great workout shoes. Very comfortable.","04 Sep 2017","","https://images-na.ssl-images-amazon.com/images/I/713WLuPPK-L._SY88.jpg","Yes","Angel Buchanan","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great, Comfortable Shoe","This is my second pair.  They are the most comfortable tennis shoes I own, I can be on my feet all day and they don't hurt.  I normally wear a 8.5 but in this shoe I wear a 9.  I find the toe box is wider and more comfortable especially if I wear a little thicker sock, it's just roomy enough to my toes are scrunched together.  I don't have a wide foot either.","18 Jul 2017","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","msgrnbay","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great shoes","This is my second pair. I think these shoes are comfy and aren't hard to keep looking fresh and white. I wear them to work every day and wash them about once a month and let them air dry. Love them.","02 Aug 2017","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Amy Klein","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Loving these shoes","I'm really loving these shoe's. A little pricey. I'm on my feet a lot for work plus I  jog. I've worn them three times now and they're very comfortable. I wear a 6 1/2, purchase a 6 1/2, fits perfect. I like my shoes a little wide in the toe area. Read some reviews that the heels were too wide, I haven't an experience that.","15 Jul 2019","Size: 6.5 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/81V1HUrmAZL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81XLfLSdzvL._SY88.jpg","Yes","stephanie stone","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Gorgeous shoes","Gorgeous shoes! I love it. Nice for running","24 Oct 2019","Size: 6.5 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/71pw3tp3dWL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71wccS4Z-QL._SY88.jpg","Yes","Kamila","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Three Stars","Look great but my feet are killing me during my walk and after my walk.","02 Aug 2018","Size: 8.5 M US Color: White/Metallic Silver/Dark Grey","","Yes","Michelle Finnegan","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"4GB RAM NOT 8GB RAM!","This is NOT an 8GB RAM! It is only 4GB RAM! With that being said, it is advertised as an 8GB RAM, packaging was basically triple boxes, packaged very well! Came with backpack and mouse pad as described. Initial start up was slow, but moving fast now that itâ€™s set up. Only gave 3 stars because the RAM is a significant part in purchasing the right laptop!","26 Nov 2019","","https://images-na.ssl-images-amazon.com/images/I/71T29bOsioL._SY88.jpg","Yes","Atara83","3.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Great Laptop, Good Value, well worth it","Amazon delivered my order promptly. This laptop bundle came in a solid double packaging, and it comes with a backpack and a mouse pad. I am so amazed by the backpack & mouse pad quality, and I donâ€™t mind the little legendary logo both accessories. I had HP laptops previously and had been pleased with their performance. This one is exceptional for someone who isn't into a lot of gaming and such. I am self employed and I bought this laptop for my work, I only need basic internet browsing and need to do some basic excel reporting, so this computer is perfect for me and at an amazing price, especially it came with bonus accessories.","03 Sep 2019","","https://images-na.ssl-images-amazon.com/images/I/61+EuNBo3AL._SY88.jpg","Yes","Maggie","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Nice, but faulty!","I got a faulty laptop from day 1! Before I ordered I made sure to ask the seller if itâ€™s NEW.  Well, I got it and it shuts down every 2 minutes. They offered refund, but I live outside the US and returning this mess will cost me a lot. I thought it was tested/upgraded as stated. How can they missed mines when it shuts off right after start up?  Now Iâ€™ve trust issues with purchasing electronics online now.","02 Nov 2019","","","Yes","Candice","1.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Pretty much everything that i was looking for in a large laptop","the box delivered on time and safe.  it was double boxed and packed well. the included laptop bag is good quality and will work well when i need to use it.  i would not buy this laptop for the bag but it is a nice value add. speed and response on this laptop is everything that i was looking for.  set up was easy and came 1/2 charged so i didn't have to immediately plug in. My only concern is battery life.  this is the largest laptop that i have ever had.  i use mainly for school and work.  i don't game or stream a lot of video.  but in the 4 hours that i have had the laptop open today, the battery has already dropped to 25%.  i don't know if that is to be expected with the multiple windows open and the large screen but i don't expect to get 8 hours out of the charge if i am on it.  I will keep the power cable near by.  if you are using less, you might make a full day on a charge.","31 Oct 2019","","","Yes","Gregg Stepp","4.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Excellent","Excellent computer, pretty easy setup, excellent quality backpack. Iâ€™d recommend this to anyone looking for a good computer at an affordable price.","02 Oct 2019","What's this?","","Yes","Megs77","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Nice laptop","Nice looking laptop. Very light. Quality is very good and very happy with this purchase. Got this laptop earlier than expected. Highly recommended seller and a product!","30 Aug 2019","","","Yes","T. Khadu","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"To be happy!!","I have nothing to say because since I opened the Laptop, already was defected.  I was very disappointed that the next day I have to return it.  However, AMAZON, customer services took care this issue.  Amazon has so many customer services over sea like Filipinas that I was very happy how those tech support help you. Since, the price is so good, I decided to re buy it.","23 Aug 2019","","","Yes","Jorge","3.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Nice laptop bundle","It is an amazing back to school laptop bundle, HP laptop is fast and portable for my school study, and the backpack looks awesome. Overall, it is worth every penny. Thanks","19 Aug 2019","","","Yes","Amazon Customer","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Worst purchase of 2019!","Extremely dissatisfied with this laptops lack of speed and how low quality it looks and feels. It truly behaves like a 13 year old slow laptop and I have high speed internet. It lags and takes forever to turn on it is so slow that I can get most info on my cellphone so much faster. I tried twice to get Amazon to send me a new Factory sealed one and they sent two that had the security tape removed and laptop was not factory packed. If it wasnt too late to return this I would do it in a heartbeat! Worst purchase of 2019 hands down!","16 Dec 2019","","","Yes","Myreviews","1.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Works very good.","Nothing to dislike about it. Nice laptop for the price.","02 Sep 2019","What's this?","","Yes","Robert C","5.0","2019 HP 15.6 Inch HD Premium Business Laptop PC, Intel Dual-core i3-7100U, 8GB DDR4 RAM, 1TB HDD, USB 3.1, HDMI, WiFi, Bluetooth, Windows 10, W/ Legendary Computer Backpack & Mouse Pad Bundle","https://www.amazon.com/HP-Business-Dual-core-Bluetooth-Legendary/product-reviews/B07VMDCLXV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
